"total_cup_points","species","owner","country_of_origin","farm_name","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"83.75","Arabica","carcafe ltda ci","Colombia","NA","NA","NA","7.83","7.83","7.58","7.33","7.42","7.67",10,10,10,"8.08","0.1",0,0,"NA",1600,1600,1600
"83.75","Arabica","exportadora de cafe condor s.a","Colombia","NA","NA","NA","7.75","7.67","7.25","7.25","7.58","8.5",10,10,10,"7.75","0.06",0,0,"NA",1600,1600,1600
"83.75","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","NA","NA","7.83","7.67","7.75","7.67","7.58","7.5",10,10,10,"7.75",0,0,0,"NA","NA","NA","NA"
"83.67","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","Bourbon","Natural / Dry","7.67","7.83","7.5","7.67","7.67","7.5",10,10,10,"7.83","0.11",0,0,"Green",890,890,890
"83.67","Arabica","kennedy macharia","Kenya","NA","SL28","Washed / Wet","8.08","7.67","7.67","7.58","7.25","7.67",10,10,10,"7.75","0.11",0,0,"Bluish-Green",1700,1700,1700
"83.67","Arabica","bismarck castro","Honduras","los hicaques","Caturra","Washed / Wet","7.5","7.5","7.67","7.67",8,8,10,10,10,"7.33","0.1",0,0,"Green",1400,1400,1400
"83.67","Arabica","comercial internacional exportadora, s.a.","Nicaragua","santa matilde","Caturra","Washed / Wet","7.67","7.75","7.67","7.67","7.83","7.58",10,10,10,"7.5","0.1",0,0,"Green",1250,1250,1250
"83.67","Arabica","ipanema coffees","Brazil","capoeirinha","Bourbon","Natural / Dry","7.58","7.75","7.58","7.75","7.58","7.58",10,10,10,"7.83","0.11",0,2,"Green",934,934,934
"83.67","Arabica","lin, che-hao krude 林哲豪","Taiwan","tsoustructive garden 鄒築園","Caturra","Natural / Dry","7.5","7.67","7.33","7.92","7.83","7.67",10,10,10,"7.75","0.1",0,0,"Bluish-Green",1200,1200,1200
"83.67","Arabica","ceca, s.a.","Costa Rica","NA","NA","NA","7.33","7.67","7.67","7.5","7.67","7.5",10,10,10,"8.33","0.11",0,0,"Blue-Green",1350,1350,1350
"83.67","Arabica","doi tung development project","Thailand","NA","NA","Washed / Wet","7.5","7.75","7.58","7.83","7.67","7.58",10,10,10,"7.75","0.12",0,0,"Bluish-Green",800,800,800
"83.67","Arabica","rob stephen","Colombia","NA","Caturra","Washed / Wet","7.5","7.75","7.5","7.75","7.67","7.67",10,10,10,"7.83","0.11",0,0,"NA",1550,1700,1625
"83.67","Arabica","juan luis alvarado romero","Guatemala","finca las cuevitas","Bourbon","Washed / Wet",8,"7.5","7.33",8,8,8,"9.33",10,10,"7.5","0.1",0,0,"Green","1356.6648","1356.6648","1356.6648"
"83.67","Arabica","exportadora de cafe condor s.a","Colombia","various","Caturra","Washed / Wet","7.83","7.75","7.67","7.58","7.58","7.67",10,10,10,"7.58",0,0,0,"Green",1750,1750,1750
"83.67","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.67","7.67","7.67","7.33","7.75",10,10,10,"7.92",0,0,0,"Green",1800,2000,1900
"83.67","Arabica","juan luis alvarado romero","Guatemala","la union monte verde","Bourbon","Washed / Wet","7.67","7.67","7.42","7.67",8,"7.75",10,10,10,"7.5","0.12",1,0,"Green","1310.64","1310.64","1310.64"
"83.67","Arabica","juan luis alvarado romero","Guatemala","el sacramento","Bourbon","Washed / Wet","7.83","7.67","7.33","7.67","7.67","7.83",10,10,10,"7.67","0.11",0,0,"Green","1310.64","1310.64","1310.64"
"83.67","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet","7.75","7.75","7.58","7.83","7.17","7.75",10,10,10,"7.83","0.11",0,0,"Green",1750,1750,1750
"83.67","Arabica","the coffee source inc.","Guatemala","finca quequesquez","Caturra","Natural / Dry","8.17","8.17","7.83","7.67","8.08","7.75","9.33","9.33","9.33",8,"0.11",0,0,"Green",1450,1450,1450
"83.67","Arabica","juan luis alvarado romero","Guatemala","agropecuaria quiagral","Bourbon","Washed / Wet","7.67","8.17","7.5","7.42","7.58","7.83",10,10,10,"7.5","0.11",0,0,"Green","1310.64","1310.64","1310.64"
"83.67","Arabica","juan luis ortega carballo","Mexico","finca apoxtla","Typica","Washed / Wet","7.67","7.5","7.5","7.33","7.83","8.25",10,10,10,"7.58","0.12",4,0,"Green",1100,1100,1100
"83.67","Arabica","ekai international company ltd.","Indonesia","ijen highland, east java","Typica","Washed / Wet","8.17","7.67","7.58","7.58","7.42","7.67",10,10,10,"7.58","0.12",0,0,"Green",1200,1600,1400
"83.67","Arabica","juan luis alvarado romero","Guatemala","finca medina","Caturra","Washed / Wet","7.67","7.5","7.33",8,"7.67","7.67",10,10,10,"7.83","0.1",0,0,"Green",1524,1524,1524
"83.67","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","NA","NA","7.75",8,"7.92","8.08","7.75",8,"9.33","9.33","9.33","8.17",0,0,0,"NA","NA","NA","NA"
"83.58","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","Bourbon","Natural / Dry","7.58","7.67","7.58","7.58","7.67","7.58",10,10,10,"7.92","0.11",0,0,"Green",890,890,890
"83.58","Arabica","juan luis alvarado romero","Guatemala","finca santa clara","Caturra","Washed / Wet","7.75","7.75","7.5","7.83","7.58","7.58",10,10,10,"7.58","0.11",0,1,"Green","1128.3696","1128.3696","1128.3696"
"83.58","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.75","7.75","7.58","7.58","7.67","7.58",10,10,10,"7.67","0.11",0,0,"Green","NA","NA","NA"
"83.58","Arabica","yunnan coffee exchange","China","menglian mang pan professional cooperative","Catimor","Washed / Wet","7.67","7.58","7.58","7.58","7.67","7.75",10,10,10,"7.75","0.1",0,1,"Green",1100,1100,1100
"83.58","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.75","7.58","7.67","7.75","7.58",10,10,10,"7.58","0.12",0,0,"Green",1600,1950,1775
"83.58","Arabica","andreas kussmaul","Mexico","exportadora café california","Caturra","Washed / Wet","7.75","7.75","7.58","7.58","7.5","7.67",10,10,10,"7.75","0.12",1,0,"Green",1200,1200,1200
"83.58","Arabica","essencecoffee","Ethiopia","lomi tasha","Other","Washed / Wet","7.75","7.67","7.58","7.67","7.5","7.67",10,10,10,"7.75",0,0,0,"NA",1700,2000,1850
"83.58","Arabica","bulamburi coffee farmers association","Uganda","bulamburi coffee farmers","SL14","Washed / Wet","7.67","7.67","7.42","7.75","7.75","7.67",10,10,10,"7.67","0.12",0,0,"Green",1800,1800,1800
"83.58","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Natural / Dry","7.67","7.58","7.67","7.67","7.67","7.67",10,10,10,"7.67",0,0,0,"Green",1600,1600,1600
"83.58","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.58","7.67","7.58","7.67","7.75",10,10,10,"7.67","0.12",0,0,"Green",1550,1550,1550
"83.58","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Washed / Wet","7.75","7.58","7.5","7.58","7.75","7.83",10,10,10,"7.58",0,0,0,"NA",1550,1550,1550
"83.58","Arabica","cqi taiwan icp cqi台灣合作夥伴","Taiwan","dragon coffee 龍咖啡","Typica","Other","7.75","7.75","7.75","7.75","7.5","7.58",10,10,10,"7.5","0.11",0,0,"Green",1000,1000,1000
"83.58","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.67","7.58","7.67","7.75","7.58",10,10,10,"7.67","0.11",0,0,"Green",1600,1950,1775
"83.58","Arabica","alfredo bojalil","Mexico","ojo de agua","Typica","Washed / Wet","7.83","7.67","7.58","7.58","7.67","7.58",10,10,10,"7.67","0.12",0,0,"NA",1000,1000,1000
"83.58","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","7.67","7.58","7.58","7.58","7.67","7.75",10,10,10,"7.75","0.11",0,0,"Green",2136,2136,2136
"83.58","Arabica","nucoffee","Brazil","fazenda jericó","Catuai","Semi-washed / Semi-pulped","7.83","7.75","7.5","7.75","7.5","7.58",10,10,10,"7.67","0.12",0,0,"Blue-Green",1100,1100,1100
"83.5","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Washed / Wet","7.75","7.58","7.58","7.75","7.75","7.5",10,10,10,"7.58",0,0,0,"Bluish-Green",1799,1799,1799
"83.5","Arabica","cqi taiwan icp cqi台灣合作夥伴","Taiwan","南投縣魚池鄉水社村中正路63-1號","NA","NA","7.58","7.58","7.17","7.17",7,7,10,10,10,10,"0.11",0,0,"Blue-Green","NA","NA","NA"
"83.5","Arabica","ceca, s.a.","Costa Rica","NA","Caturra","Washed / Wet","7.92","7.42","7.5","7.67","7.5","7.67",10,10,10,"7.83",0,0,0,"Blue-Green",1850,1850,1850
"83.5","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","7.75","7.58","7.58","7.5","7.75","7.75",10,10,10,"7.58",0,0,0,"Green",1000,1000,1000
"83.5","Arabica","juan luis alvarado romero","Guatemala","la esperanza","Bourbon","Washed / Wet","7.67","7.75","7.5","7.83","7.58","7.58",10,10,10,"7.58","0.1",0,2,"Bluish-Green","1219.2","1219.2","1219.2"
"83.5","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.58","7.58","7.58","7.58","7.75","7.67",10,10,10,"7.75","0.12",0,0,"Green",1600,1950,1775
"83.5","Arabica","damari absalome","Tanzania, United Republic Of","ano family","Ruiru 11","Washed / Wet","7.75","7.67","7.58","7.67","7.67","7.58",10,10,10,"7.58","0.13",0,0,"Green",1400,1400,1400
"83.5","Arabica","aulia arif syahri","Indonesia","yusrin","Sumatra","Semi-washed / Semi-pulped","7.25","7.67","7.58","7.92","7.83","7.58",10,10,10,"7.67","0.13",0,0,"Bluish-Green",1500,1500,1500
"83.5","Arabica","debesa agro industry plc","Ethiopia","NA","NA","Natural / Dry","7.67","7.75","7.5","7.58","7.75","7.67",10,10,10,"7.58","0.1",1,0,"NA",1600,1600,1600
"83.5","Arabica","federacion nacional de cafeteros","Colombia","NA","NA","Washed / Wet","7.67","7.42","7.67","7.83","7.58","7.67",10,10,10,"7.67",0,1,0,"NA","NA","NA","NA"
"83.5","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet",8,"7.58","7.25","7.58","7.92","7.58",10,10,10,"7.58","0.11",0,0,"Green",1850,1850,1850
"83.5","Arabica","the coffee source inc.","Guatemala","several","Caturra","Washed / Wet","7.58","7.75","7.5","7.83","7.42","7.67",10,10,10,"7.75","0.1",0,0,"Green",1400,1400,1400
"83.5","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Washed / Wet","7.75","7.58","7.33","7.5","7.83","7.83",10,10,10,"7.67",0,2,0,"NA",1650,1650,1650
"83.5","Arabica","NA","Honduras","los hicaques","Caturra","Natural / Dry","7.67","7.5","7.67","7.5","7.67","7.67",10,10,10,"7.83","0.1",0,0,"Green",1350,1350,1350
"83.5","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet","7.58","7.75","7.42","7.67","7.75","7.67",10,10,10,"7.67",0,1,0,"Green",1750,1750,1750
"83.5","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet","7.58","7.67","7.58","7.75","7.58","7.75",10,10,10,"7.58","0.11",0,"NA","Green",1750,1750,1750
"83.5","Arabica","manuel herrera juarez","Mexico","finca los barreales 1112lban","Bourbon","Natural / Dry","7.83","7.58","7.25","7.5","7.5","7.42",10,10,10,"8.42","0.13",0,0,"Green",1170,1170,1170
"83.5","Arabica","miguel cortes moreno","Mexico","NA","Typica","Semi-washed / Semi-pulped","7.67","7.75","7.67","7.75","7.58","7.5",10,10,10,"7.58","0.11",0,0,"Green",940,940,940
"83.5","Arabica","gabriel bernardo rivas ross","Mexico","la corralera","Pacamara","Washed / Wet","7.75","7.67","7.67","7.75","7.33","7.5",10,10,10,"7.83","0.12",0,0,"Green",1400,1400,1400
"83.5","Arabica","juan luis alvarado romero","Guatemala","santo tomas pachuj","Caturra","Washed / Wet","7.83","7.5","7.5",8,"7.67","7.5",10,10,10,"7.5","0.1",0,0,"Green",1524,1524,1524
"83.5","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.58","7.58","7.67","7.67","7.67",10,10,10,"7.67","0.11",0,0,"Green",1600,1950,1775
"83.5","Arabica","felipe isaza","Guatemala","conquista / morito","Bourbon","Washed / Wet","7.5","7.5","7.75","7.5",8,"7.67",10,10,10,"7.58",0,3,0,"Green","1402.08","1402.08","1402.08"
"83.5","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","NA","NA","7.5","7.67","7.58","7.92","7.58","7.67",10,10,10,"7.58","0.01",0,0,"NA","NA","NA","NA"
"83.5","Arabica","specialty coffee association of indonesia","Indonesia","pancoer angkrek","NA","NA","7.83","7.58","7.58","7.58","7.75","7.58",10,10,10,"7.58",0,0,0,"NA",1600,1600,1600
"83.42","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Washed / Wet","7.5","7.58","7.58","7.5","7.75","7.83",10,10,10,"7.67",0,0,2,"Green",439,439,439
"83.42","Arabica","juan luis alvarado romero","Guatemala","piamonte","Bourbon","Washed / Wet","7.67","7.75","7.5","7.58","7.58","7.67",10,10,10,"7.67","0.1",0,0,"Green",1700,1700,1700
"83.42","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Washed / Wet","7.67","7.67","7.5","7.67","7.67","7.58",10,10,10,"7.67","0.11",0,0,"Green",442,442,442
"83.42","Arabica","ceca, s.a.","Costa Rica","gamboa","Caturra","Washed / Wet","7.58","7.5","7.42","7.92","7.5","7.67",10,10,10,"7.83","0.09",0,0,"Blue-Green",1850,1850,1850
"83.42","Arabica","cqi taiwan icp cqi台灣合作夥伴","Taiwan","日月潭文武莊園","NA","NA","7.67","7.67",7,"7.08",7,7,10,10,10,10,"0.11",0,0,"Blue-Green","NA","NA","NA"
"83.42","Arabica","bugisu cooperative union","Uganda","bulago & buginyanya","SL14","Washed / Wet","7.58","7.75","7.33","7.75","7.67","7.58",10,10,10,"7.75","0.11",0,0,"Green",1800,1800,1800
"83.42","Arabica","松澤宏樹 koju matsuzawa","Thailand","matsuzawa coffee","Catimor","Washed / Wet","7.5","7.58","7.75","7.5","7.75","7.67",10,10,10,"7.67","0.13",0,0,"Bluish-Green",1200,1200,1200
"83.42","Arabica","consejo salvadoreño del café","El Salvador","la joya","Bourbon","Washed / Wet","7.58","7.5","7.75","7.58","7.75","7.67",10,10,10,"7.58","0.11",0,0,"NA",1330,1330,1330
"83.42","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","7.58","7.67","7.58","7.67","7.58","7.67",10,10,10,"7.67","0.12",4,0,"Green",442,442,442
"83.42","Arabica","bourbon specialty coffees","Brazil","cachoeira da grama farm","Yellow Bourbon","Semi-washed / Semi-pulped","7.33","7.83","7.75","7.5","7.42","7.83",10,10,10,"7.75","0.12",0,0,"Green","NA","NA","NA"
"83.42","Arabica","ngila estate ltd","Tanzania, United Republic Of","ngila estate","Bourbon","Washed / Wet","7.75","7.67","7.58","7.67","7.58","7.58",10,10,10,"7.58","0.13",0,0,"Green",1600,1600,1600
"83.42","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Washed / Wet","7.58","7.58","7.25","7.75","7.75","8.58","9.33",10,10,"7.58","0.12",0,0,"Green",1813,1813,1813
"83.42","Arabica","juan luis alvarado romero","Guatemala","el papaturro","Bourbon","Natural / Dry","7.75","7.83","7.33","7.83","7.5","7.67",10,10,10,"7.5","0.1",0,0,"Green","1219.2","1219.2","1219.2"
"83.42","Arabica","juan luis alvarado romero","Guatemala","finca medina","Caturra","Washed / Wet","7.67","7.75","7.5","7.83","7.58","7.5",10,10,10,"7.58","0.1",0,0,"Green",1500,1500,1500
"83.42","Arabica","juan luis alvarado romero","Guatemala","el morito","Bourbon","Washed / Wet","7.67","7.5","7.75","7.42","7.75","7.75",10,10,10,"7.58","0.11",0,0,"Green","1310.64","1310.64","1310.64"
"83.42","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.42","7.75","7.67","7.58","7.67","7.67",10,10,10,"7.67",0,0,0,"Green","NA","NA","NA"
"83.42","Arabica","exportadora de cafe condor s.a","Colombia","various","Caturra","Washed / Wet","7.5","7.75","7.58","7.5","7.67","7.75",10,10,10,"7.67","0.11",0,0,"Green",1450,1450,1450
"83.42","Arabica","federacion nacional de cafeteros","Colombia","NA","NA","NA","7.58","7.58","7.58","7.67","7.75","7.67",10,10,10,"7.58","0.1",1,0,"NA","NA","NA","NA"
"83.42","Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative","NA","NA","7.5","7.92","7.42","7.67","7.83","7.58",10,10,10,"7.5","0.01",0,0,"NA","NA","NA","NA"
"83.42","Arabica","doi tung development project","Thailand","doi tung development project","Peaberry","NA","7.58","7.25","7.5","7.92","7.92","7.42",10,10,10,"7.83","0.11",0,0,"NA","NA","NA","NA"
"83.38","Arabica","grounds for health admin","Mexico","NA","NA","NA","7.25","7.88","7.38","7.63","7.5","8.75",9,10,10,8,"0.09",2,0,"NA",900,1200,1050
"83.33","Arabica","exportadora de cafe condor s.a","Colombia","various","Caturra","Washed / Wet","7.75","7.5","7.75","7.58","7.58","7.58",10,10,10,"7.58",0,0,1,"NA",1650,1650,1650
"83.33","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.58","7.58","7.42","7.67","7.75",10,10,10,"7.67",0,0,0,"Blue-Green","NA","NA","NA"
"83.33","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.83","7.58","7.58","7.58","7.5","7.58",10,10,10,"7.67",0,1,0,"Green","NA","NA","NA"
"83.33","Arabica","ipanema coffees","Brazil","rio verde","Catuai","Semi-washed / Semi-pulped","7.5","7.83","7.33","7.58","7.58","7.92",10,10,10,"7.58","0.1",1,0,"Green",1227,1227,1227
"83.33","Arabica","andreas kussmaul","Mexico","ecc","Caturra","Washed / Wet","7.75","7.75","7.5","7.67","7.5","7.58",10,10,10,"7.58","0.12",0,0,"Green",1200,1200,1200
"83.33","Arabica","exportadora de cafe condor s.a","Colombia","various","Caturra","Washed / Wet","7.67","7.75","7.42","7.83","7.83","7.42",10,10,10,"7.42","0.11",0,0,"Green",1650,1650,1650
"83.33","Arabica","afca","Tanzania, United Republic Of","mondul coffee estate","Other","Semi-washed / Semi-pulped","7.75","7.58","7.67","7.58","7.58","7.58",10,10,10,"7.58","0.12",0,0,"Green",1700,1700,1700
"83.33","Arabica","j.andrade","Mexico","el pino","Other","Washed / Wet","7.67","7.67","7.58","7.67","7.5","7.58",10,10,10,"7.67","0.12",0,0,"Green",1100,1100,1100
"83.33","Arabica","the coffee source inc.","Costa Rica","several","Caturra","Washed / Wet","7.67","7.67","7.42","7.67","7.67","7.67",10,10,10,"7.58","0.12",0,0,"Green",1300,1300,1300
"83.33","Arabica","eileen koyanagi","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.83","7.58","7.83","7.67","7.92",8,"9.33",10,"9.33","7.83","0.11",0,0,"Bluish-Green","NA","NA","NA"
"83.33","Arabica","eric thormaehlen","Costa Rica","several","Catuai","Washed / Wet","7.5","7.67","7.67","7.5","7.83","7.17",10,10,10,8,"0.11",0,0,"Green",1100,1300,1200
"83.33","Arabica","dane loraas","Peru","NA","NA","Washed / Wet","7.83","7.75","7.58","7.83","7.92","7.58","9.33",10,10,"7.5","0.12",0,0,"Green","NA","NA","NA"
"83.33","Arabica","itiah coffee llc","Haiti","marre blanche","Typica","Washed / Wet","7.58","7.5","7.67","7.5","7.83","7.42",10,10,10,"7.83","0.11",0,0,"Green","1280.16","1280.16","1280.16"
"83.33","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","7.67","7.67","7.5","7.67","7.92","7.42",10,10,10,"7.5","0.11",0,0,"Green",1000,1000,1000
"83.33","Arabica","juan luis alvarado romero","Guatemala","el sacramento","Bourbon","Washed / Wet","7.83","7.67","7.17","7.67","7.67","7.67",10,10,10,"7.67","0.11",0,0,"Green","1310.64","1310.64","1310.64"
"83.33","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.92","7.5","7.58","7.83","7.67","7.67","9.33",10,10,"7.83","0.1",0,0,"Bluish-Green","NA","NA","NA"
"83.33","Arabica","steven kil","Burundi","sogestal kayanza","Bourbon","Washed / Wet","7.75","7.67","7.33","7.5","7.5","7.75",10,10,10,"7.83",0,0,0,"NA",1880,1880,1880
"83.33","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet","7.5","7.67","7.67","7.58","7.67","7.58",10,10,10,"7.67",0,0,0,"Green",1750,1750,1750
"83.33","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","NA","NA","8.08","7.83","7.83","7.75","7.67","7.58","9.33",10,"9.33","7.92","0.01",0,0,"NA","NA","NA","NA"
"83.33","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","NA","NA","7.58","7.67","7.58","7.5","7.83","7.67",10,10,10,"7.5",0,0,0,"NA","NA","NA","NA"
"83.25","Arabica","cafe de don balbino s.c. de r.l. de c.v.","Mexico","corta pico","Typica","Washed / Wet","7.67","7.83","7.42","7.83","7.33","7.5",10,10,10,"7.67","0.11",0,0,"Blue-Green",1600,1600,1600
"83.25","Arabica","troy quimby","Costa Rica","estate la patricia","Catuai","Pulped natural / honey","7.5","7.5","7.83","7.5","7.67","7.67",10,10,10,"7.58","0.11",0,0,"Green",1900,1900,1900
"83.25","Arabica","rodrigo soto","Costa Rica","coopellanobonito","NA","Washed / Wet","7.83","7.5","7.42","7.67","7.5","7.67",10,10,10,"7.67","0.11",0,0,"NA","NA","NA","NA"
"83.25","Arabica","juan luis alvarado romero","Guatemala","linda vista","Pacas","Washed / Wet","7.5","7.58","7.42","7.83","7.67","7.58",10,10,10,"7.67","0.11",0,2,"Green",2100,2100,2100
"83.25","Arabica","kawacom uganda ltd","Uganda","kawacom uganda ltd sipi farmers group","SL14","Washed / Wet","7.5","7.67","7.67","7.42","7.67","7.67",10,10,10,"7.67","0.12",0,0,"Green","NA","NA","NA"
"83.25","Arabica","bourbon specialty coffees","Brazil","NA","NA","NA","7.58","7.67","7.42","7.5","7.67","7.42",10,10,10,8,"0.12",0,0,"Green","NA","NA","NA"
"83.25","Arabica","carcafe ltda ci","Colombia","NA","Caturra","Natural / Dry","7.58","7.67","7.67","7.17","7.75","7.83",10,10,10,"7.58",0,0,0,"Green",442,442,442
"83.25","Arabica","productos y servicios chilindron s.a. de c.v.","Mexico","los charcos","Typica","Natural / Dry","7.83","7.75","7.5","7.58","7.58","7.58",10,10,10,"7.42","0.12",0,0,"Bluish-Green",1261,1261,1261
"83.25","Arabica","lin, che-hao krude 林哲豪","Taiwan","sunshine valley estate 向陽高山咖啡","Bourbon","Washed / Wet","7.67","7.5","7.5","7.5","7.67","7.83",10,10,10,"7.58","0.1",0,0,"Blue-Green",1000,1000,1000
"83.25","Arabica","cqi taiwan icp cqi台灣合作夥伴","Taiwan","以勒咖啡","Typica","Washed / Wet","7.92","7.83","7.75","7.58","7.5","7.33",10,10,10,"7.33","0.1",0,0,"Green",800,800,800
"83.25","Arabica","compañia colombiana agroindustrial s.a","Colombia","NA","Caturra","Natural / Dry","7.58","7.58","7.5","7.58","7.58","7.75",10,10,10,"7.67",0,0,0,"Green",1483,1483,1483
"83.25","Arabica","juan luis alvarado romero","Guatemala","finca medina","Caturra","Washed / Wet","7.5","7.67","7.58","7.67","7.67","7.5",10,10,10,"7.67","0.1",0,0,"Green",1500,1500,1500
"83.25","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet","7.83","7.5","7.67","7.33","7.67","7.67",10,10,10,"7.58","0.11",0,0,"Green",1750,1750,1750
"83.25","Arabica","calixto guillen vazquez","Mexico","various","Bourbon","Washed / Wet","7.58","7.75","7.5","7.5","7.58","7.58",10,10,10,"7.75","0.12",0,0,"Green",1300,1300,1300
"83.25","Arabica","kona pacific farmers cooperative","United States (Hawaii)","NA","Hawaiian Kona","Natural / Dry","7.58","7.75","7.83",8,"8.08","7.67","9.33",10,"9.33","7.67","0.11",0,0,"Bluish-Green","NA","NA","NA"
"83.25","Arabica","ernesto rodriguez luna","Mexico","finca teocelo","Mundo Novo","Washed / Wet","7.75","7.58","7.58","7.58","7.5","7.58",10,10,10,"7.67","0.13",0,0,"Green","NA","NA","NA"
"83.25","Arabica","modesto landeros flores","Mexico","mata larga","Caturra","Washed / Wet","7.75","7.75","7.42","7.92","7.33","7.5",10,10,10,"7.58","0.12",0,0,"Blue-Green",1000,1000,1000
"83.25","Arabica","juan luis alvarado romero","Guatemala","agropecuaria quiagral","Bourbon","Washed / Wet","7.83","7.58","7.08","7.83","7.42","8.08",10,10,10,"7.42","0.11",0,0,"Green","1310.64","1310.64","1310.64"
"83.25","Arabica","nucoffee","Brazil","água limpa","Yellow Bourbon","Semi-washed / Semi-pulped","7.75","7.67","7.5","7.58","7.58","7.58",10,10,10,"7.58","0.11",0,0,"Blue-Green",1200,1200,1200
"83.25","Arabica","exportadora de cafe condor s.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.58","7.58","7.42","7.83","7.58",10,10,10,"7.58","0.12",0,0,"Green",175,175,175
"83.25","Arabica","racafe & cia s.c.a","Colombia","NA","Caturra","Washed / Wet","7.67","7.67","7.5","7.5","7.58","7.67",10,10,10,"7.67","0.11",0,0,"Green",1600,1950,1775
"83.25","Arabica","exportadora de cafe condor s.a","Colombia","NA","NA","NA","7.92","7.75","7.25","7.42","7.83","7.58",10,10,10,"7.5","0.08",0,0,"NA",1600,1800,1700
"83.25","Arabica","exportadora de cafe condor s.a","Colombia","NA","NA","NA",8,"7.67","7.67","7.25","7.67","7.5",10,10,10,"7.5","0.13",0,0,"NA",1880,1880,1880
"83.25","Arabica","exportadora de cafe condor s.a","Colombia","NA","NA","NA","7.92","7.75","7.5","7.42","7.42","7.67",10,10,10,"7.58","0.04",0,0,"NA",1800,1800,1800
"83.17","Arabica","ipanema coffees","Brazil","fazenda capoeirnha","Bourbon","Natural / Dry","7.67","7.42","7.5","7.58","7.67","7.58",10,10,10,"7.75","0.11",0,0,"Green",890,890,890
"83.17","Arabica","juan luis alvarado romero","Guatemala","beneficio el torreon","Bourbon","Washed / Wet","7.58","7.58","7.33","7.67","7.75","7.58",10,10,10,"7.67","0.1",0,0,"Green",1901,1901,1901
"83.17","Arabica","taylor winch (t) ltd","Tanzania, United Republic Of","mamsera","Bourbon","Washed / Wet","7.67","7.58","7.42","7.67","7.67","7.58",10,10,10,"7.58","0.12",0,0,"Green",168,168,168
"83.17","Arabica","andrea bernal","Peru","NA","NA","NA","7.92","7.5","7.5","7.58","7.67","7.5",10,10,10,"7.5","0.11",0,1,"Green","NA","NA","NA"
"83.17","Arabica","sunvirtue co., ltd.","Vietnam","apollo estate","Catimor","Natural / Dry","7.58","7.42","7.08","7.33","7.58","8.58",10,10,10,"7.58","0.07",0,0,"None",1550,1550,1550
"83.17","Arabica","juan luis alvarado romero","Guatemala","finca medina","Caturra","Washed / Wet","7.67","7.75","7.42","7.75","7.58","7.5",10,10,10,"7.5","0.11",2,2,"Green",1500,1500,1500
